,Demanda proporcional
Andalucía,5.587926837315938
Aragon,9.398364969220117
Cantabria,8.61294490547298
Castilla-La Mancha,6.883241611401895
Castilla-León,6.742567458840401
Cataluña,7.321003557728247
País Vasco,8.936215709009627
Asturias,11.51651625745651
Ceuta,2.9095259774866813
Melilla,2.972963397193915
Madrid,5.262750658713534
Navarra,9.172186947345242
Valencia,6.3551067658404
Extremadura,5.436368193275526
Galicia,8.286267326094784
Baleares,6.132186416735346
Canarias,4.862287969786569
La Rioja,6.368635269515084
Murcia,7.245437221423439
